x,y
9,-1
25,-1
9,-1
25,-1
9,-1
25,-1
10,-1
25,-1
10,-1
25,-1
10,-1
24,-1
10,-1
24,-1
10,-1
24,-1
10,-1
24,-1
11,-1
24,-1
11,-1
24,-1
11,-1
23,-1
11,-1
23,-1
11,-1
23,-1
11,-1
23,-1
12,-1
23,-1
12,-1
23,-1
12,-1
22,-1
12,-1
22,-1
12,-1
22,-1
12,-1
22,-1
13,-1
22,-1
13,-1
22,-1
13,-1
22,-1
13,-1
21,-1
13,-1
21,-1
13,-1
21,-1
13,-1
21,-1
14,-1
21,-1
14,-1
21,-1
14,-1
21,-1
14,-1
20,-1
14,-1
20,-1
14,-1
20,-1
14,-1
20,-1
15,-1
20,-1
15,-1
20,-1
15,-1
20,-1
15,-1
20,-1
15,-1
19,-1
15,-1
19,-1
15,-1
19,-1
15,-1
19,-1
15,-1
19,-1
16,-1
19,-1
16,-1
19,-1
16,-1
19,-1
16,-1
19,-1
16,-1
18,-1
16,-1
18,-1
16,-1
18,-1
16,-1
18,-1
16,-1
18,-1
17,-1
18,-1
17,-1
18,-1
17,-1
18,-1
17,-1
18,-1
17,-1
18,-1
17,-1
17,-1
17,-1
17,-1
17,-1
17,-1
17,-1
0,0
17,-1
17,-1
0,0
17,-1
17,-1
0,0
17,-1
17,-1
1,0
17,-1
17,-1
1,0
17,-1
17,-1
1,0
17,-1
17,-1
1,0
17,-1
17,-1
1,0
17,-1
17,-1
1,0
16,-1
17,-1
2,0
16,-1
16,-1
2,0
16,-1
16,-1
2,0
16,-1
16,-1
2,0
16,-1
16,-1
2,0
16,-1
16,-1
2,0
16,-1
16,-1
3,0
16,-1
16,-1
3,0
16,-1
16,-1
3,0
16,-1
16,-1
3,0
16,-1
16,-1
3,0
16,-1
16,-1
3,0
16,-1
16,-1
4,0
15,-1
15,-1
4,0
15,-1
15,-1
4,0
15,-1
15,-1
4,0
15,-1
15,-1
4,0
15,-1
15,-1
4,0
15,-1
15,-1
4,0
15,-1
15,-1
5,0
15,-1
15,-1
5,0
15,-1
15,-1
5,0
15,-1
15,-1
5,0
15,-1
15,-1
5,0
15,-1
15,-1
5,0
15,-1
15,-1
5,0
15,-1
15,-1
6,0
14,-1
15,-1
6,0
14,-1
14,-1
6,0
14,-1
14,-1
6,0
14,-1
14,-1
6,0
14,-1
14,-1
6,0
14,-1
14,-1
6,0
14,-1
14,-1
6,0
14,-1
14,-1
7,0
14,-1
14,-1
7,0
14,-1
14,-1
7,0
14,-1
14,-1
7,0
14,-1
14,-1
7,0
14,-1
14,-1
7,-1
14,-1
14,-1
7,-1
14,-1
14,-1
7,-1
14,-1
14,-1
8,-1
13,-1
14,-1
8,-1
13,-1
14,-1
8,-1
13,-1
13,-1
8,-1
13,-1
13,-1
8,-1
13,-1
13,-1
8,-1
13,-1
13,-1
8,-1
13,-1
13,-1
8,-1
13,-1
13,-1
8,-1
13,-1
13,-1
8,-1
13,-1
13,-1
9,-1
13,-1
13,-1
9,-1
13,-1
13,-1
9,-1
13,-1
13,-1
9,-1
13,-1
13,-1
9,-1
13,-1
13,-1
9,-1
13,-1
13,-1
9,-1
13,-1
13,-1
9,-1
13,-1
13,-1
9,-1
13,-1
13,-1
10,-1
12,-1
13,-1
10,-1
12,-1
13,-1
10,-1
12,-1
12,-1
10,-1
12,-1
12,-1
10,-1
12,-1
12,-1
10,-1
12,-1
12,-1
10,-1
12,-1
12,-1
10,-1
12,-1
12,-1
10,-1
12,-1
12,-1
10,-1
12,-1
12,-1
10,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
12,-1
11,-1
12,-1
12,-1
11,-1
12,-1
12,-1
0,0
11,-1
11,-1
12,-1
0,0
11,-1
11,-1
12,-1
0,0
11,-1
11,-1
11,-1
0,0
11,-1
11,-1
11,-1
1,0
11,-1
11,-1
11,-1
1,0
11,-1
11,-1
11,-1
1,0
11,-1
11,-1
11,-1
1,0
11,-1
11,-1
11,-1
1,0
11,-1
11,-1
11,-1
1,0
11,-1
11,-1
11,-1
1,0
11,-1
11,-1
11,-1
1,0
11,-1
11,-1
11,-1
2,0
11,0
11,-1
11,-1
2,0
11,0
11,-1
11,-1
2,0
11,0
11,-1
11,-1
2,0
11,0
11,-1
11,-1
2,0
11,0
11,-1
11,-1
2,0
11,0
11,-1
11,-1
2,0
11,-1
11,-1
11,-1
2,0
11,0
11,-1
11,-1
2,0
11,0
11,-1
11,-1
3,0
11,0
11,-1
11,-1
3,0
11,0
11,-1
11,-1
3,0
11,0
11,-1
11,-1
3,0
11,0
11,-1
11,-1
3,0
10,0
11,-1
11,-1
3,0
10,0
11,-1
11,-1
3,0
10,0
10,-1
11,-1
3,0
10,0
10,-1
11,-1
3,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
4,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
